	|||		|||	
or England	|||	coord|or n;prop|England	|||	or England
you mean in here	|||	pro;per|you v|mean prep|in adv|here	|||	you mean in here
and then	|||	coord|and adv;tem|then	|||	and then
it is not	|||	pro;per|it aux|be-3S neg|not	|||	it is not
d you see number one	|||	mod|do pro;per|you v|see n|number pro;indef|one	|||	d you see number one
that ~be cake	|||	pro;dem|that cop|~be n|cake	|||	that 's cake
the same thing that you said	|||	det;art|the adj|same n|thing pro;rel|that pro;per|you v|say-PAST	|||	the same thing that you said
that sounded right	|||	pro;rel|that v|sound-PAST n|right	|||	that sounded right
you hurt yourself	|||	pro;per|you v|hurt-ZERO pro;refl|yourself	|||	you hurt yourself
it ~be fun	|||	pro;per|it cop|~be adj|fun	|||	it 's fun
it moves	|||	pro;per|it v|move-3S	|||	it moves
no not Hercules but h	|||	co|no neg|not n;prop|Hercules conj|but n;let|h	|||	no not Hercules but h
oh no let ~us play with one for a while	|||	co|oh co|no v;obj|let pro;obj|~us v|play prep|with pro;indef|one prep|for det;art|a n|while	|||	oh no let 's play with one for a while
did you look on the back	|||	v|do-PAST pro;per|you cop|look prep|on det;art|the adj|back	|||	did you look on the back
d you go to school all day	|||	mod|do pro;per|you v|go prep|to n|school qn|all n|day	|||	d you go to school all day
no you do ~not cut your finger	|||	co|no pro;per|you mod|do neg|~not v|cut-ZERO det;poss|your n|finger	|||	no you didn 't cut your finger
how did he break	|||	adv;int|how mod|do-PAST pro;sub|he v|break	|||	how did he break
he has a dog named Spot	|||	pro;sub|he v|have-3S det;art|a n|dog v|name-PAST n;prop|Spot	|||	he has a dog named Spot
not too fast Adam because it do ~not work	|||	neg|not adv|too n|fast n;prop|Adam conj|because pro;per|it mod|do neg|~not v|work	|||	not too fast Adam because it doesn 't work
what are all those things behind you there	|||	pro;int|what aux|be-PRES qn|all pro;dem|those n|thing-PL prep|behind pro;per|you adv|there	|||	what are all those things behind you there
now pull it back up	|||	adv|now v|pull pro;per|it adv|back adv|up	|||	now pull it back up
how about some grapes	|||	adv;int|how prep|about qn|some n|grape-PL	|||	how about some grapes
I looked	|||	pro;sub|I cop|look-PAST	|||	I looked
fasten the button	|||	v|fasten det;art|the n|button	|||	fasten the button
oh he ~will play a game with some blocks	|||	co|oh pro;sub|he mod|~will v|play det;art|a n|game prep|with qn|some n|block-PL	|||	oh he 'll play a game with some blocks
that ~be no ladder for that	|||	pro;dem|that cop|~be qn|no n|ladder prep|for pro;dem|that	|||	that 's no ladder for that
it ~be going to fall apart	|||	pro;per|it aux|~be part|go-PRESP inf|to v|fall adv|apart	|||	it 's going to fall apart
is that a bus or a station wagon	|||	cop|be-3S pro;rel|that det;art|a n|bus coord|or det;art|a n|station n|wagon	|||	is that a bus or a station wagon
you ~be going to put it where it belongs	|||	pro;per|you aux|~be part|go-PRESP inf|to v|put-ZERO pro;per|it pro;rel|where pro;per|it v|belong-3S	|||	you 're going to put it where it belongs
no you do ~not tell me anything about it	|||	co|no pro;per|you mod|do neg|~not v|tell pro;obj|me pro;indef|anything prep|about pro;per|it	|||	no you didn 't tell me anything about it
where ~be the door	|||	adv;int|where cop|~be det;art|the n|door	|||	where 's the door
does he have boots	|||	mod|do-3S pro;sub|he v|have n|boot-PL	|||	does he have boots
does boy	|||	mod|do-3S n|boy	|||	does boy
no you do ~not do you	|||	co|no pro;per|you mod|do neg|~not v|do pro;per|you	|||	no you don 't do you
oh that ~be for the doggie	|||	co|oh pro;dem|that cop|~be conj|for det;art|the n|dog-DIM	|||	oh that 's for the doggie
no I think she ~be putting water in her flowers	|||	co|no pro;sub|I v|think pro;sub|she aux|~be part|put-PRESP n|water prep|in det;poss|her n|flower-PL	|||	no I think she 's putting water in her flowers
now I ~be a copy cat just like	|||	adv|now pro;sub|I aux|~be det;art|a n|copy n|cat adv|just prep|like	|||	now I 'm a copy cat just like
you do ~not want your cup what	|||	pro;per|you mod|do neg|~not v|want det;poss|your n|cup pro;int|what	|||	you don 't want your cup what
what ~be you doing Adam	|||	pro;int|what aux|~be pro;per|you part|do-PRESP n;prop|Adam	|||	what 're you doing Adam
yes are	|||	co|yes cop|be-PRES	|||	yes are
stop stop stop	|||	n|stop n|stop n|stop	|||	stop stop stop
they do	|||	pro;sub|they v|do	|||	they do
Paul has what	|||	n;prop|Paul aux|have-3S pro;int|what	|||	Paul has what
will you make me a ring	|||	mod|will pro;per|you v|make pro;obj|me det;art|a n|ring	|||	will you make me a ring
what d you see Adam	|||	pro;int|what mod|do pro;per|you v|see n;prop|Adam	|||	what d you see Adam
d you know what a design is	|||	mod|do pro;per|you v|know pro;int|what det;art|a n|design cop|be-3S	|||	d you know what a design is
that ~be the other part of Ursula ~s game be ~not it	|||	pro;dem|that cop|~be det;art|the qn|other n|part prep|of n;prop|Ursula poss|~s n|game cop|be neg|~not pro;per|it	|||	that 's the other part of Urs  game isn 't it
the tape recordbe-dv ~be working and so is the doorbell	|||	det;art|the n|tape n|record+be-dv aux|~be part|work-PRESP coord|and adv|so cop|be-3S det;art|the n|door+bell	|||	the tape recorder 's working and so is the doorbell
I ~be not mocking you	|||	pro;sub|I cop|~be neg|not part|mock-PRESP pro;per|you	|||	I 'm not mocking you
is it another clown	|||	aux|be-3S pro;per|it qn|another n|clown	|||	is it another clown
well you have_to be careful not to get hit and not to get hurt	|||	co|well pro;per|you mod;aux|have_to cop|be co|careful neg|not inf|to v|get n|hit coord|and neg|not inf|to v|get v|hurt-ZERO	|||	well you have_to be careful not to get hit and not to get hurt
the diaper man	|||	det;art|the n|diaper n|man	|||	the diaper man
you have_to take them out first	|||	pro;per|you mod;aux|have_to v|take pro;obj|them adv|out adv|first	|||	you have_to take them out first
I guess if you wanted to	|||	pro;sub|I n|guess conj|if pro;per|you v|want-PAST prep|to	|||	I guess if you wanted to
do you know what street it ~be on	|||	mod|do pro;per|you v|know pro;int|what n|street pro;per|it cop|~be adv|on	|||	do you know what street it 's on
I think they say the face	|||	pro;sub|I v|think pro;sub|they v|say det;art|the n|face	|||	I think they say the face
let ~us see if we can sharpen it	|||	v;obj|let pro;obj|~us v|see conj|if pro;sub|we mod|can v|sharpen pro;per|it	|||	let 's see if we can sharpen it
because I thought it would be fun to try to knock it down	|||	conj|because pro;sub|I v|think-PAST pro;per|it mod|will-COND cop|be n|fun inf|to v|try inf|to v|knock pro;per|it adv|down	|||	because I thought it would be fun to try to knock it down
they ~be going to the house of the what	|||	pro;sub|they aux|~be part|go-PRESP prep|to det;art|the n|house prep|of det;art|the pro;int|what	|||	they 're going to the house of the what
I want you to tell her about this book	|||	pro;sub|I v|want pro;per|you inf|to v|tell pro;obj|her prep|about pro;dem|this n|book	|||	I want you to tell her about this book
you can look out_of the window	|||	pro;per|you mod|can cop|look prep|out_of det;art|the n|window	|||	you can look out_of the window
you mean boat ship	|||	pro;per|you adj|mean n|boat n|ship	|||	you mean boat ship
what do you see when you ~be standing up and the sun is shining	|||	pro;int|what mod|do pro;per|you v|see conj|when pro;per|you aux|~be part|stand-PRESP adv|up coord|and det;art|the n|sun aux|be-3S part|shine-PRESP	|||	what do you see when you 're standing up and the sun is shining
Adam sit down	|||	n;prop|Adam v|sit adv|down	|||	Adam sit down
sugar ice+cream	|||	n|sugar n|ice+cream	|||	sugar ice
would you ask Cromer if he would like some coffee	|||	mod|will-COND pro;per|you v|ask n;prop|Cromer conj|if pro;sub|he mod|will-COND v|like qn|some n|coffee	|||	would you ask Cromer if he would like some coffee
for Paul	|||	conj|for n;prop|Paul	|||	for Paul
if you break it then you will ~not have a pumpkin	|||	conj|if pro;per|you v|break pro;per|it adv;tem|then pro;per|you mod|will neg|~not v|have det;art|a n|pumpkin	|||	if you break it then you won 't have a pumpkin
oh he ~be grown enough	|||	co|oh pro;sub|he aux|~be part|grow-PASTP adv|enough	|||	oh he 's grown enough
turning it	|||	part|turn-PRESP pro;per|it	|||	turning it
you want to write a number	|||	pro;per|you v|want inf|to v|write det;art|a v|number	|||	you want to write a number
where ~be the part that goes in_between	|||	adv;int|where cop|~be det;art|the adj|part pro;rel|that v|go-3S prep|in_between	|||	where 's the part that goes in_between
no that	|||	qn|no pro;dem|that	|||	no that
what fell down	|||	pro;int|what v|fall-PAST adv|down	|||	what fell down
in the Charles River	|||	prep|in det;art|the n;prop|Charles n;prop|River	|||	in the Charles River
you have_to do what	|||	pro;per|you mod;aux|have_to v|do pro;int|what	|||	you have_to do what
I do ~not finish that one	|||	pro;sub|I mod|do neg|~not v|finish pro;dem|that pro;indef|one	|||	I didn 't finish that one
a mashed one too	|||	det;art|a part|mash-PASTP pro;indef|one adv|too	|||	a mashed one too
maybe I might sit on them	|||	adv|maybe pro;sub|I mod|might v|sit prep|on pro;obj|them	|||	maybe I might sit on them
you ~will have_to pick them up	|||	pro;per|you mod|~will mod;aux|have_to v|pick pro;obj|them adv|up	|||	you 'll have_to pick them up
two feet	|||	det;num|two n|foot-PL	|||	two feet
how do I smell	|||	adv;int|how mod|do pro;sub|I v|smell	|||	how do I smell
would you close the door please	|||	mod|will-COND pro;per|you v|close det;art|the n|door co|please	|||	would you close the door please
can you tell her	|||	mod|can pro;per|you v|tell pro;obj|her	|||	can you tell her
Paul why do ~not you come over here	|||	n;prop|Paul adv;int|why mod|do neg|~not pro;per|you v|come adv|over adv|here	|||	Paul why don 't you come over here
shall I help you put it back on	|||	mod|shall pro;sub|I v|help pro;per|you v|put-ZERO pro;per|it adv|back adv|on	|||	shall I help you put it back on
where are you going now	|||	adv;int|where aux|be-PRES pro;per|you part|go-PRESP adv|now	|||	where are you going now
well what does that say	|||	co|well pro;int|what mod|do-3S pro;dem|that v|say	|||	well what does that say
it gets new cars from the factory and takes them to the place where they ~be sold	|||	pro;per|it aux|get-3S adj|new n|car-PL prep|from det;art|the n|factory coord|and v|take-3S pro;obj|them prep|to det;art|the n|place adv;int|where pro;sub|they aux|~be part|sell-PASTP	|||	it gets new cars from the factory and takes them to the place where they 're sold
because that ~be the name my mommy gave me	|||	conj|because pro;dem|that cop|~be det;art|the n|name det;poss|my n|mommy v|give-PAST pro;obj|me	|||	because that 's the name my mommy gave me
do ~not have it	|||	mod|do neg|~not v|have pro;per|it	|||	don 't have it
you do ~not shoot it with a bow	|||	pro;per|you mod|do neg|~not v|shoot pro;per|it prep|with det;art|a n|bow	|||	you don 't shoot it with a bow
you can change the numbers	|||	pro;per|you mod|can v|change det;art|the n|number-PL	|||	you can change the numbers
but who is that	|||	conj|but pro;int|who cop|be-3S pro;dem|that	|||	but who is that
did you look in your basket	|||	v|do-PAST pro;per|you cop|look prep|in det;poss|your n|basket	|||	did you look in your basket
I know but it ~be not all together	|||	pro;sub|I v|know conj|but pro;per|it cop|~be neg|not adv|all adv|together	|||	I know but it 's not all together
what place d you think that is	|||	pro;int|what n|place v|do pro;per|you v|think pro;dem|that cop|be-3S	|||	what place d you think that is
this is the one about Italy	|||	pro;dem|this cop|be-3S det;art|the pro;indef|one prep|about n;prop|Italy	|||	this is the one about Italy
oh two big boats	|||	co|oh det;num|two adj|big n|boat-PL	|||	oh two big boats
you want to see it	|||	pro;per|you v|want inf|to v|see pro;per|it	|||	you want to see it
do you live on a farm	|||	mod|do pro;per|you v|live prep|on det;art|a n|farm	|||	do you live on a farm
is that a pipe	|||	cop|be-3S pro;rel|that det;art|a n|pipe	|||	is that a pipe
why do ~not you use that tray	|||	adv;int|why mod|do neg|~not pro;per|you v|use pro;dem|that n|tray	|||	why don 't you use that tray
the airplane was ready yes	|||	det;art|the n|airplane cop|be-PAST adj|ready co|yes	|||	the airplane was ready yes
well write on the paper	|||	co|well v|write prep|on det;art|the n|paper	|||	well write on the paper
no leave that back there	|||	qn|no n|leave pro;rel|that adv|back adv|there	|||	no leave that back there
he has_to write with that	|||	pro;sub|he mod;aux|has_to v|write prep|with pro;dem|that	|||	he has_to write with that
you ~will probably be a cowboy	|||	pro;per|you mod|~will adv|probable-dadj cop|be det;art|a n|cow+boy	|||	you 'll probably be a cowboy
I do ~not think you can put it back	|||	pro;sub|I mod|do neg|~not v|think pro;per|you mod|can v|put-ZERO pro;per|it adv|back	|||	I don 't think you can put it back
I can ~not see	|||	pro;sub|I mod|can neg|~not v|see	|||	I can 't see
yes that ~be to take it off	|||	co|yes pro;dem|that cop|~be inf|to v|take pro;per|it adv|off	|||	yes that 's to take it off
I think you have_to put some together	|||	pro;sub|I v|think pro;per|you mod;aux|have_to v|put-ZERO qn|some adv|together	|||	I think you have_to put some together
the deer looks like Bambi	|||	det;art|the n|deer cop|look-3S conj|like n;prop|Bambi	|||	the deer looks like Bambi
very gentle with it	|||	adv|very adj|gentle prep|with pro;per|it	|||	very gentle with it
you think you ~genmod like to get hurt	|||	pro;per|you v|think pro;per|you mod|~genmod v|like inf|to v|get v|hurt-ZERO	|||	you think you 'd like to get hurt
nineteen o'clock	|||	det;num|nineteen n|o'clock	|||	nineteen o'clock
let me try	|||	v|let-ZERO pro;obj|me v|try	|||	let me try
here ~be your watch	|||	pro;exist|here cop|~be det;poss|your n|watch	|||	here 's your watch
I like to play with the children	|||	pro;sub|I v|like inf|to v|play prep|with det;art|the n|child-PL	|||	I like to play with the children
now you have too many	|||	adv|now pro;per|you v|have adv|too qn|many	|||	now you have too many
you ~be talking very quietly	|||	pro;per|you aux|~be part|talk-PRESP adv|very adv|quiet-dadj	|||	you 're talking very quietly
oh I think you ~genmod like that one	|||	co|oh pro;sub|I v|think pro;per|you mod|~genmod prep|like pro;dem|that pro;indef|one	|||	oh I think you 'd like that one
they do ~not roll	|||	pro;sub|they mod|do neg|~not v|roll	|||	they don 't roll
it looks like an old+fashioned light bulb	|||	pro;per|it cop|look-3S prep|like det;art|a adj|old+fashioned adj|light n|bulb	|||	it looks like an old light bulb
a cord	|||	det;art|a n|cord	|||	a cord
the fat kind	|||	det;art|the n|fat n|kind	|||	the fat kind
I think perhaps it ~be the wrong way	|||	pro;sub|I v|think adv|perhaps pro;per|it cop|~be det;art|the adj|wrong n|way	|||	I think perhaps it 's the wrong way
what d doyou do you mean channel four stops on two	|||	pro;int|what mod|do v;per|do+you v|do pro;per|you adj|mean n|channel det;num|four n|stop-PL prep|on det;num|two	|||	what d you do you mean channel four stops on two
well no that ~be a window	|||	co|well co|no pro;dem|that cop|~be det;art|a n|window	|||	well no that 's a window
that ~be the way you screw	|||	pro;dem|that cop|~be det;art|the n|way pro;per|you v|screw	|||	that 's the way you screw
perhaps you ~genmod like to look at another one	|||	adv|perhaps pro;per|you mod|~genmod v|like inf|to cop|look prep|at qn|another pro;indef|one	|||	perhaps you 'd like to look at another one
whenever there ~be a hill to climb	|||	adv;int|whenever pro;exist|there cop|~be det;art|a n|hill inf|to v|climb	|||	whenever there 's a hill to climb
can you build something on there Adam	|||	mod|can pro;per|you v|build pro;indef|something prep|on adv|there n;prop|Adam	|||	can you build something on there Adam
she ~be handing you something	|||	pro;sub|she aux|~be part|hand-PRESP pro;per|you pro;indef|something	|||	she 's handing you something
it has_to be in this room though	|||	pro;per|it mod;aux|has_to cop|be prep|in pro;dem|this n|room adv|though	|||	it has_to be in this room though
how should we begin	|||	adv;int|how mod|should pro;sub|we v|begin	|||	how should we begin
mine had a hole in it	|||	n|mine v|have-PAST det;art|a n|hole prep|in pro;per|it	|||	mine had a hole in it
well I do ~not think a horse can fly	|||	co|well pro;sub|I mod|do neg|~not v|think det;art|a n|horse mod|can v|fly	|||	well I don 't think a horse can fly
and here ~be the pilot	|||	coord|and pro;exist|here cop|~be det;art|the n|pilot	|||	and here 's the pilot
what kind of cake do you have Adam	|||	pro;int|what n|kind prep|of n|cake v|do pro;per|you v|have n;prop|Adam	|||	what kind of cake do you have Adam
no he will ~not spill them	|||	co|no pro;sub|he mod|will neg|~not v|spill pro;obj|them	|||	no he won 't spill them
is that brown one a duck too	|||	cop|be-3S pro;dem|that adj|brown pro;indef|one det;art|a n|duck post|too	|||	is that brown one a duck too
you ~have given up on Mommy blowing	|||	pro;per|you aux|~have part|give-PASTP adv|up prep|on n;prop|Mommy part|blow-PRESP	|||	you 've given up on Mommy blowing
well you go sit in the chair with her beside the chair	|||	co|well pro;per|you v|go v|sit prep|in det;art|the n|chair prep|with pro;obj|her prep|beside det;art|the n|chair	|||	well you go sit in the chair with her beside the chair
it did a little bit see	|||	pro;per|it v|do-PAST det;art|a adj|little n|bit v|see	|||	it did a little bit see
d you want another piece Adam	|||	mod|do pro;per|you v|want qn|another n|piece n;prop|Adam	|||	d you want another piece Adam
we ~will eat it all up	|||	pro;sub|we mod|~will v|eat pro;per|it adv|all adv|up	|||	we 'll eat it all up
do you have a building finished	|||	mod|do pro;per|you v|have det;art|a n|building v|finish-PAST	|||	do you have a building finished
that ~be David ~s Bunny_Rabbit	|||	pro;dem|that cop|~be n;prop|David poss|~s n;prop|Bunny_Rabbit	|||	that 's David 's Bunny_Rabbit
here ~be some macaroni	|||	pro;exist|here cop|~be qn|some n|macaroni	|||	here 's some macaroni
have you met Mr Walter	|||	aux|have pro;per|you v|meet-PAST n;prop|Mr n;prop|Walter	|||	have you met Mr Walter
from the tv set	|||	prep|from det;art|the n|tv part|set-PASTP	|||	from the tv set
you were listening to in Mrs Major ~s kitchen	|||	pro;per|you aux|be-PAST part|listen-PRESP prep|to prep|in n;prop|Mrs n;prop|Major poss|~s n|kitchen	|||	you were listening to in Mrs Major 's kitchen
do we go under a tunnel or do we go through a tunnel	|||	mod|do pro;sub|we v|go prep|under det;art|a n|tunnel coord|or mod|do pro;sub|we v|go adj|through det;art|a n|tunnel	|||	do we go under a tunnel or do we go through a tunnel
you do ~not have anything else to put in the box do you	|||	pro;per|you mod|do neg|~not v|have pro;indef|anything post|else inf|to v|put-ZERO prep|in det;art|the n|box v|do pro;per|you	|||	you don 't have anything else to put in the box do you
is there something I can for you	|||	cop|be-3S adv|there pro;indef|something pro;sub|I mod|can prep|for pro;per|you	|||	is there something I can for you
maybe Robin broke that one	|||	adv|maybe n;prop|Robin v|break-PAST pro;dem|that pro;indef|one	|||	maybe Robin broke that one
let ~us see if we can rescue some of this alright	|||	v;obj|let pro;obj|~us v|see conj|if pro;sub|we mod|can v|rescue qn|some prep|of pro;dem|this adj|alright	|||	let 's see if we can rescue some of this alright
what kind of paper	|||	pro;int|what n|kind prep|of n|paper	|||	what kind of paper
why do ~not you go work on your firetruck with the screwdriver	|||	adv;int|why mod|do neg|~not pro;per|you v|go n|work prep|on det;poss|your n|fire+truck prep|with det;art|the n|screw+driver	|||	why don 't you go work on your firetruck with the screwdriver
who makes mud pies	|||	pro;int|who v|make-3S n|mud n|pie-PL	|||	who makes mud pies
I think she knows you ~be here but I do ~not think she hears you	|||	pro;sub|I v|think pro;sub|she v|know-3S pro;per|you aux|~be adv|here conj|but pro;sub|I mod|do neg|~not v|think pro;sub|she v|hear-3S pro;per|you	|||	I think she knows you 're here but I don 't think she hears you
that ~be a door	|||	pro;dem|that cop|~be det;art|a n|door	|||	that 's a door
his name is Jocko	|||	det;poss|his n|name cop|be-3S n;prop|Jocko	|||	his name is Jocko
you hold the ring in your hand	|||	pro;per|you v|hold det;art|the n|ring prep|in det;poss|your n|hand	|||	you hold the ring in your hand
I think that might be nice	|||	pro;sub|I v|think pro;rel|that mod|might cop|be adj|nice	|||	I think that might be nice
how did your house get turned out	|||	adv;int|how mod|do-PAST det;poss|your n|house aux|get part|turn-PASTP adv|out	|||	how did your house get turned out
how d you know that ~be the kind he likes	|||	adv;int|how v|do pro;per|you v|know pro;dem|that cop|~be det;art|the n|kind pro;sub|he v|like-3S	|||	how d you know that 's the kind he likes
oh this side yeah	|||	co|oh pro;dem|this n|side co|yeah	|||	oh this side yeah
look at Paul he has gone to sleep	|||	cop|look prep|at n;prop|Paul pro;sub|he aux|have-3S part|go-PASTP inf|to v|sleep	|||	look at Paul he has gone to sleep
was it Cynthia	|||	cop|be-PAST pro;per|it n;prop|Cynthia	|||	was it Cynthia
no they should ~not throw it on the sidewalk at all should they	|||	co|no pro;sub|they mod|should neg|~not v|throw pro;per|it prep|on det;art|the n|sidewalk prep|at pro;indef|all mod|should pro;sub|they	|||	no they shouldn 't throw it on the sidewalk at all should they
yes I ~be watching you	|||	co|yes pro;sub|I aux|~be part|watch-PRESP pro;per|you	|||	yes I 'm watching you
yes on his tummy	|||	co|yes prep|on det;poss|his n|tummy	|||	yes on his tummy
he sticks to me like	|||	pro;sub|he v|stick-3S prep|to pro;obj|me prep|like	|||	he sticks to me like
I do ~not think there ~be anything in there	|||	pro;sub|I mod|do neg|~not v|think pro;exist|there cop|~be pro;indef|anything prep|in adv|there	|||	I don 't think there 's anything in there
that ~genmod be a nice one to show Urs	|||	pro;dem|that mod|~genmod cop|be det;art|a adj|nice pro;indef|one prep|to n|show n;prop|Ursula	|||	that 'd be a nice one to show Urs
what would you like to paint on the box	|||	pro;int|what mod|will-COND pro;per|you v|like inf|to v|paint prep|on det;art|the n|box	|||	what would you like to paint on the box
it carries cars from one place to another	|||	pro;per|it v|carry-3S n|car-PL prep|from det;num|one n|place prep|to qn|another	|||	it carries cars from one place to another
you do ~not need milk	|||	pro;per|you mod|do neg|~not v|need n|milk	|||	you don 't need milk
do ~not cry Paul	|||	mod|do neg|~not v|cry n;prop|Paul	|||	don 't cry Paul
we have enough fish for supper	|||	pro;sub|we v|have adj|enough n|fish prep|for n|supper	|||	we have enough fish for supper
oh no that ~be for a doll	|||	co|oh co|no pro;dem|that cop|~be conj|for det;art|a n|doll	|||	oh no that 's for a doll
must be broken	|||	mod|must cop|be part|break-PASTP	|||	must be broken
Mrs Bekaer	|||	n;prop|Mrs n;prop|Bekaer	|||	Mrs Bekaer
fill it in	|||	v|fill pro;per|it adv|in	|||	fill it in
what d you think is wrong	|||	pro;int|what mod|do pro;per|you v|think aux|be-3S adj|wrong	|||	what d you think is wrong
that was a rubber band that broke be ~not it	|||	pro;dem|that cop|be-PAST det;art|a n|rubber n|band pro;rel|that v|break-PAST aux|be neg|~not pro;per|it	|||	that was a rubber band that broke wasn 't it
where was the swan boat Adam	|||	adv;int|where cop|be-PAST det;art|the n|swan n|boat n;prop|Adam	|||	where was the swan boat Adam
you want to put that on the floor	|||	pro;per|you v|want inf|to v|put-ZERO pro;dem|that prep|on det;art|the n|floor	|||	you want to put that on the floor
he has just one baby	|||	pro;sub|he aux|have-3S adv|just det;num|one n|baby	|||	he has just one baby
just looking	|||	adv|just part|look-PRESP	|||	just looking
do ~not you want to punch some of it out	|||	mod|do neg|~not pro;per|you v|want inf|to v|punch qn|some prep|of pro;per|it adv|out	|||	don 't you want to punch some of it out
did he have pneumonia	|||	mod|do-PAST pro;sub|he v|have n|pneumonia	|||	did he have pneumonia
we saw it on Walt_Disney	|||	pro;sub|we v|see-PAST pro;per|it prep|on n;prop|Walt_Disney	|||	we saw it on Walt_Disney
Paul he ~be looking out the window	|||	n;prop|Paul pro;sub|he aux|~be part|look-PRESP prep|out det;art|the n|window	|||	Paul he 's looking out the window
hold it now	|||	v|hold pro;per|it adv|now	|||	hold it now
it ~be too loud	|||	pro;per|it cop|~be adv|too adj|loud	|||	it 's too loud
it ~be like a rope	|||	pro;per|it cop|~be conj|like det;art|a n|rope	|||	it 's like a rope
go to bed	|||	v|go prep|to n|bed	|||	go to bed
a striped watch	|||	det;art|a part|stripe-PASTP n|watch	|||	a striped watch
because he went up so high	|||	conj|because pro;sub|he v|go-PAST adv|up adv|so adj|high	|||	because he went up so high
oh here it is	|||	co|oh adv|here pro;per|it cop|be-3S	|||	oh here it is
get on the other side honey	|||	v|get prep|on det;art|the qn|other n|side n|honey	|||	get on the other side honey
these are control panels	|||	pro;dem|these cop|be-PRES n|control n|panel-PL	|||	these are control panels
and what else did you have	|||	coord|and pro;int|what post|else mod|do-PAST pro;per|you v|have	|||	and what else did you have
inside the house	|||	prep|inside det;art|the n|house	|||	inside the house
come down	|||	v|come adv|down	|||	come down
that looks like something in a box	|||	pro;dem|that cop|look-3S prep|like pro;indef|something prep|in det;art|a n|box	|||	that looks like something in a box
a car trailer truck yellow	|||	det;art|a n|car n|trailer n|truck n|yellow	|||	a car trailer truck yellow
in the water over there	|||	prep|in det;art|the v|water adv|over adv|there	|||	in the water over there
a motor	|||	det;art|a n|motor	|||	a motor
yes I did forget	|||	co|yes pro;sub|I mod|do-PAST v|forget	|||	yes I did forget
oh you have some pins	|||	co|oh pro;per|you v|have qn|some n|pin-PL	|||	oh you have some pins
look how high it goes	|||	co|look adv;int|how adj|high pro;per|it v|go-3S	|||	look how high it goes
how do you know that ~be the top truck	|||	adv;int|how v|do pro;per|you v|know pro;dem|that cop|~be det;art|the adj|top n|truck	|||	how do you know that 's the top truck
what ~be the pig ~s name	|||	pro;int|what aux|~be det;art|the n|pig poss|~s n|name	|||	what 's the piggie 's name
be careful	|||	cop|be adj|care-dn	|||	be careful
you do ~not know that	|||	pro;per|you mod|do neg|~not v|know pro;dem|that	|||	you don 't know that
I see	|||	pro;sub|I v|see	|||	I see
do ~not kick it too hard	|||	mod|do neg|~not v|kick pro;per|it adv|too adv|hard	|||	don 't kick it too hard
you do ~not have_to go to bed again	|||	pro;per|you mod|do neg|~not mod;aux|have_to v|go prep|to n|bed adv|again	|||	you don 't have_to go to bed again
did you break it off yourself	|||	v|do-PAST pro;per|you v|break pro;per|it prep|off pro;refl|yourself	|||	did you break it off yourself
will ~not you like to pick these up	|||	mod|will neg|~not pro;per|you v|like inf|to v|pick pro;dem|these adv|up	|||	wouldn 't you like to pick these up
yes that ~be Daddy ~s suitcase	|||	co|yes pro;dem|that cop|~be n;prop|Daddy poss|~s n|suitcase	|||	yes that 's Daddy 's suitcase
do you like coffee	|||	mod|do pro;per|you co|like n|coffee	|||	do you like coffee
can you put your gloves on	|||	mod|can pro;per|you v|put-ZERO det;poss|your n|glove-PL prep|on	|||	can you put your gloves on
d you have_to go	|||	mod|do pro;per|you mod;aux|have_to v|go	|||	d you have_to go
he ~be giving you the other one	|||	pro;sub|he aux|~be part|give-PRESP pro;per|you det;art|the qn|other pro;indef|one	|||	he 's giving you the other one
a little bit too big	|||	det;art|a adj|little n|bit adv|too adj|big	|||	a little bit too big
you dropped your mittens	|||	pro;per|you v|drop-PAST det;poss|your n|mitten-PL	|||	you dropped your mittens
is that a ball now	|||	cop|be-3S pro;rel|that det;art|a n|ball adv|now	|||	is that a ball now
it ~be called a birdie	|||	pro;per|it aux|~be part|call-PASTP det;art|a n|bird-DIM	|||	it 's called a birdie
what ~be your favorite color	|||	pro;int|what cop|~be det;poss|your n|favorite n|color	|||	what 's your favorite color
he can play with a few	|||	pro;sub|he mod|can v|play prep|with det;art|a qn|few	|||	he can play with a few
why d you think he ~be going to be the eye	|||	adv;int|why v|do pro;per|you v|think pro;sub|he aux|~be part|go-PRESP inf|to cop|be det;art|the n|eye	|||	why d you think he 's going to be the eye
oh did the baby cry	|||	co|oh v|do-PAST det;art|the n|baby v|cry	|||	oh did the baby cry
yes you may put that in there	|||	co|yes pro;per|you mod|may v|put-ZERO pro;dem|that prep|in adv|there	|||	yes you may put that in there
thirty two	|||	det;num|thirty det;num|two	|||	thirty two
it sounded like part of Red Riding Hood and somebody else	|||	pro;per|it v|sound-PAST co|like n|part prep|of n;prop|Red n;prop|Riding n;prop|Hood coord|and pro;indef|somebody post|else	|||	it sounded like part of Red Riding Hood and somebody else
I have_to finish folding it first	|||	pro;sub|I mod;aux|have_to v|finish part|fold-PRESP pro;per|it adv|first	|||	I have_to finish folding it first
see those dotted lines	|||	v|see pro;dem|those v|dot-PAST n|line-PL	|||	see those dotted lines
oh you ~be ready for some more film	|||	co|oh pro;per|you cop|~be adj|ready prep|for qn|some qn|more n|film	|||	oh you 're ready for some more film
the thing inside the tire is a compass	|||	det;art|the n|thing prep|inside det;art|the n|tire cop|be-3S det;art|a n|compass	|||	the thing inside the tire is a compass
